GEOID,full_geoid,center_lon,center_lat,poll_lon,poll_lat,poll_idx,osrm_distance_miles,osm_way_ids,num_way_ids,osm_way_ids_str
11010054142,011010054142,-86.170527,32.387752,-86.22198486000002,32.42712402,-1,15.129121254675832,[],0,
11010055011,011010055011,-86.096457,32.379449,-86.1015,32.35437857000002,39,2.0245566505524004,[],0,
11010055012,011010055012,-86.097368,32.392981,-86.18080901999998,32.40631484999998,46,5.702834702424596,[],0,
11010055021,011010055021,-86.049541,32.34996,-86.22198486000002,32.42712402,-1,23.977158338200756,"['SR 126', 'US 80', 'AL 126']",3,"SR 126,US 80,AL 126"
11010055031,011010055031,-86.077546,32.345725,-86.12441122000001,32.34152959000004,35,2.955870108243131,['AL 110'],1,AL 110
11010055032,011010055032,-86.088412,32.352314,-86.22198486000002,32.42712402,-1,20.842395019076143,"['SR 126', 'CR 85', 'AL 126']",3,"SR 126,CR 85,AL 126"
11010055033,011010055033,-86.124244,32.349191,-86.22198486000002,32.42712402,-1,18.7064883741161,['AL 110; AL 126'],1,AL 110; AL 126
11010055041,011010055041,-86.025337,32.344563,-86.22198486000002,32.42712402,-1,25.240657660904475,"['SR 126', 'US 80', 'AL 126']",3,"SR 126,US 80,AL 126"
11010056041,011010056041,-86.037603,32.289686,-86.22198486000002,32.42712402,-1,27.936048317944003,"['AL 110; AL 126', 'AL 110']",2,"AL 110; AL 126,AL 110"
11010056042,011010056042,-86.080075,32.22081,-86.22198486000002,32.42712402,-1,28.35342438515168,['CR 85'],1,CR 85
11010056043,011010056043,-86.189447,32.226132,-86.22198486000002,32.42712402,-1,23.435569860936784,[],0,
11010056051,011010056051,-86.212408,32.326287,-86.2087,32.3527,37,2.377309953148496,[],0,
11010056052,011010056052,-86.201442,32.331462,-86.2087,32.3527,37,1.9273118172667056,[],0,
11010056061,011010056061,-86.222282,32.332314,-86.26101685000003,32.33230591,33,3.1291709644947616,[],0,
11010056062,011010056062,-86.220162,32.339037,-86.24391173999997,32.34976578000001,36,2.0257372587520353,[],0,
11010056063,011010056063,-86.228416,32.331869,-86.25068665,32.38306045999996,44,5.072327786546038,['US 80; US 231; AL 21'],1,US 80; US 231; AL 21
11010056064,011010056064,-86.228217,32.326274,-86.23854828000002,32.29640961,29,2.9687946611654468,[],0,
11010056071,011010056071,-86.132638,32.318155,-86.12441122000001,32.34152959000004,35,3.4622888886127234,[],0,
11010056072,011010056072,-86.149464,32.335081,-86.12441122000001,32.34152959000004,35,3.062062708936583,[],0,
11010056073,011010056073,-86.138466,32.327454,-86.12441122000001,32.34152959000004,35,2.2584413486273878,[],0,
11010056081,011010056081,-86.112943,32.321799,-86.12441122000001,32.34152959000004,35,4.201225347036673,[],0,
11010056091,011010056091,-86.182538,32.327167,-86.17120360999998,32.353286740000016,38,2.2165608261771905,['AL 271'],1,AL 271
11010056092,011010056092,-86.207783,32.312591,-86.24079131999999,32.32452393000004,32,4.896355027526813,[],0,
11010056093,011010056093,-86.19557,32.308119,-86.17120360999998,32.353286740000016,38,3.9015372761504716,['AL 271'],1,AL 271
11010056094,011010056094,-86.190327,32.332544,-86.20451355000003,32.33990479,34,1.1457491891085787,[],0,
11010056101,011010056101,-86.218959,32.286358,-86.23854828000002,32.29640961,29,1.3038885505859545,[],0,
11010056111,011010056111,-86.172264,32.334131,-86.17120360999998,32.353286740000016,38,1.9435917829669307,['AL 271'],1,AL 271
11010056112,011010056112,-86.173607,32.321405,-86.17120360999998,32.353286740000016,38,2.678240769507997,['AL 271'],1,AL 271
11010056121,011010056121,-86.152816,32.313397,-86.12441122000001,32.34152959000004,35,3.541078951619919,[],0,
11010056131,011010056131,-86.226886,32.300314,-86.23854828000002,32.29640961,29,1.1524600146643966,[],0,
11010056132,011010056132,-86.219811,32.306224,-86.24079131999999,32.32452393000004,32,3.2810965986056395,[],0,
11010056133,011010056133,-86.227255,32.311065,-86.24079131999999,32.32452393000004,32,3.428113388096984,[],0,
11010056141,011010056141,-86.231702,32.321375,-86.24079131999999,32.32452393000004,32,0.8702325176780544,[],0,
11010056142,011010056142,-86.236936,32.315468,-86.24079131999999,32.32452393000004,32,1.032535076490984,[],0,
11010057001,011010057001,-86.080687,32.093655,-86.061,32.06477296000003,27,2.5028893832254218,['CR 89'],1,CR 89
11010057002,011010057002,-86.096696,32.007181,-86.1661,32.0374,25,5.24165185728311,['AL 94'],1,AL 94
11010058001,011010058001,-86.280198,32.080162,-86.21654673000002,32.052133980000015,26,6.6744131134502345,['AL 94'],1,AL 94
11010058002,011010058002,-86.196667,32.07261,-86.21654673000002,32.052133980000015,26,2.8470056047820846,['AL 94'],1,AL 94
11010058003,011010058003,-86.229784,31.999486,-86.21654673000002,32.052133980000015,26,4.442255831583134,['AL 94'],1,AL 94
11010059021,011010059021,-86.343461,32.302496,-86.35089874,32.29876709,3,0.61118222376875,['US 31'],1,US 31
11010059022,011010059022,-86.344538,32.295352,-86.35089874,32.29876709,3,0.7103533125380591,['US 31'],1,US 31
11010059023,011010059023,-86.342924,32.308451,-86.35089874,32.29876709,3,1.1967638907875278,['US 31'],1,US 31
11010059031,011010059031,-86.386441,32.110987,-86.38694645000001,32.17635431999996,0,6.65863024593933,['US 31'],1,US 31
11010059032,011010059032,-86.32388,32.176767,-86.38694645000001,32.17635431999996,0,3.7270558116992065,[],0,
11010059041,011010059041,-86.308086,32.251209,-86.29187011999996,32.24235916,1,1.2807734847825816,['US 331'],1,US 331
11010059042,011010059042,-86.368761,32.231784,-86.29187011999996,32.24235916,1,7.0430114208309,['US 31'],1,US 31
11010059043,011010059043,-86.387826,32.284947,-86.38169861000003,32.30923462000003,4,2.7546696161159234,['US 80; AL 21'],1,US 80; AL 21
11010060001,011010060001,-86.386092,32.374155,-86.3918,32.39174204000001,19,1.4776865050269055,['US 31'],1,US 31
11010060002,011010060002,-86.405814,32.387555,-86.3918,32.39174204000001,19,1.1820994942025924,[],0,
