STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,POPULATION,LATITUDE,LONGITUDE,GEOID,geometry,min_network_dist_miles,nearest_poll_network_idx
1,101,5800,2,365,32.07261,-86.196667,011010058002,POINT (-86.196667 32.07261),2.8470056047820846,26
1,101,5800,3,897,31.999486,-86.229784,011010058003,POINT (-86.229784 31.999486),4.442255831583134,26
1,101,5902,1,1193,32.302496,-86.343461,011010059021,POINT (-86.343461 32.302496),0.61118222376875,3
1,101,5902,2,763,32.295352,-86.344538,011010059022,POINT (-86.344538 32.295352),0.7103533125380591,3
1,101,5902,3,1256,32.308451,-86.342924,011010059023,POINT (-86.342924 32.308451),1.1967638907875278,3
1,101,5903,1,886,32.110987,-86.386441,011010059031,POINT (-86.386441 32.110987),6.65863024593933,0
1,101,5903,2,1057,32.176767,-86.32388,011010059032,POINT (-86.32388 32.176767),3.7270558116992065,0
1,101,5904,1,1138,32.251209,-86.308086,011010059041,POINT (-86.308086 32.251209),1.2807734847825816,1
1,101,5904,2,610,32.231784,-86.368761,011010059042,POINT (-86.368761 32.231784),6.213665229224403,3
1,101,5904,3,621,32.284947,-86.387826,011010059043,POINT (-86.387826 32.284947),2.7546696161159234,4
1,101,6000,1,715,32.374155,-86.386092,011010060001,POINT (-86.386092 32.374155),1.4776865050269055,19
1,101,6000,2,463,32.387555,-86.405814,011010060002,POINT (-86.405814 32.387555),1.1820994942025924,19
1,101,6000,3,1265,32.359939,-86.436134,011010060003,POINT (-86.436134 32.359939),1.6546534604247705,11
1,101,6000,4,766,32.332126,-86.423928,011010060004,POINT (-86.423928 32.332126),3.100152857693216,11
1,101,6100,1,2062,32.315369,-86.382859,011010061001,POINT (-86.382859 32.315369),0.6812730684628482,4
